Name,Tags,URL,prompt
"Restaurant kitchen ",,https://www.midjourney.com/jobs/dd93880d-1342-4641-b1ba-08da7b8976f5?index=0,"30 years old german Woman perfect hips , straight black Hair bride , black Skirt ,stand in Front of a Restaurant kitchen, she Smileys Happy and surprise at me,Long legs, fotorealistic, ultrarealistic Foto whole Body, delicate and intricate details, soft-focus portraits --ar 9:16 --stylize 750"
"Latina model ",,https://www.midjourney.com/jobs/70473ba5-b0d6-4ca9-880c-ae03ed40ec5a?index=0,"a 25 year old latina model with black hair squatting on a modern chair with a playful tilt from the front,next to an open window, emphasizing beauty, comfort --style raw --stylize 750"
At pool,,https://www.midjourney.com/jobs/0058b506-3995-4195-9bcd-283fedca0b0a?index=0,"a beautiful Young Woman with blond Hair ,transgressive,expressive, at a pool,smiling,long legs,boho style, canon eos --ar 1:1 --v 6"
Harley,,https://www.midjourney.com/jobs/dd0124fe-9498-4b3c-9617-6fbaaad899de?index=0,Harley Quinn sitting on a gangster couch smoking a cigar drinking whiskey. Hyper realistic. Very detailed --v 6
Korean,,https://www.midjourney.com/jobs/6743752d-212e-48bf-97fd-67b61accfced?index=0,"A full length shot of A beautiful Korean teenage girl Leaning on the swing at the edge of the pool, low angle view, long-sleeved legs, detailed facial appearance, beautiful eyes, beautiful fingers and legs, delicate skin texture, UHD, Dream colors, fair skin, smooth skin, sweating, high resolution, Alex Strohl highkey tonohs resolution, Pastel Colors, Enchanted Strolight hl, forecolora a academia outlook, full body shot, --ar 2:3 --stylize 250 --v 6"
Pool,,https://www.midjourney.com/jobs/f4f16db6-8b3a-4b0e-9fce-7abbcdabca20?index=0,"Create a photograph , a 29 years old girl walking in a model pasarel having fun , in swimingpool, uhl, hyper realistic, Chupa Chups in mouth, real skin, ultra sharp eyes,with detailed skin texture pills and small defects, full body, 4 K ultra realistic, high quality and detailed background, Samsung Galaxy camera "
"Bellybutton ",,https://www.midjourney.com/jobs/da923dd3-ae73-4987-b73f-561159996390?index=0,"barefoot, Snapchat photo, low angle view, view through a slightly open door, small tiled room, beautiful young korean woman sitting on a shiny white bowl like chair with seated rim, pigeon toed, annoyed expression, pointing index finger at viewer, pink volleyball tights, tan, pigtail braids, bangs, black hair, toes --ar 9:16 --style raw --stylize 750 --weird 10 "
Snapchat,,https://www.midjourney.com/jobs/02e6a393-6e16-4118-8586-965edf0c6418?index=0,
"Liquid ",,https://www.midjourney.com/jobs/4b1e1fa6-7ea3-4e2c-8df6-424df9d16466?index=0,"photo of a beautiful brunette instagram model with liquid that has the color white only on her face, photorealistic --ar 2:5 "
Hotel asian,,,"photo of an asian model with blanket blanket standing next to open hotel door, angry face expression"
"Covered ",,https://www.midjourney.com/jobs/43c0fc1a-fbb5-48ac-ad57-66bf9700a0a1?index=0,"A stunning girl with beautiful pink lips with glossy effect, with milk on the face and in the mouth, very realistic, macro, 8k, super realistic "
Dog latex,,https://www.midjourney.com/jobs/5c551408-dfcc-4b0d-82f9-c3431f04fb28?index=0,"magazine photography, cinestill 800T, realistic shaped latex dogmask, latex Tail, collar, realistic human eyes, latex-fashion portrait, realistic human eyes, inspired by balenciaga fashion photographer, low contrast cold color palette, model fashion look, pose on all fours --no real dog --chaos 10 --style raw --stylize 500 "
